Name,S1,S2,S3,S4,Signal
Boron concentration,0.5486258689801277,0.22933859716619434,0.46549729744017765,0.6285001123980314,C
Lithium concentration,0.576208840308759,0.8125682576708042,0.7796876735375123,0.5520062155645985,C
Drainage density,0.0,1.0,0.8946027345348984,0.4954652530153636,A
Spring density,0.0,0.06594631379811805,0.9249990721135973,0.35691773808322946,D
Hydraulic gradient,0.003934364871435943,0.522515954267464,0.4780223354544472,0.15309173938772733,A
Precipitation,0.0,0.8516311466035398,0.0,0.13446491958730455,A
Gravity anomaly,1.0,0.3551719565877584,0.3131986634805673,0.0,B
Magnetic intensity,0.48136101157495453,0.526691080678214,0.33893446168791985,0.5569935224257455,C
Seismicity,0.0,0.0,0.9548503557593171,0.0038720645885875326,D
Silica geothermometer,0.67856005449791,0.5653191723846955,0.25602742844623905,0.049276828553402145,C
Heat flow,0.48877078615779984,0.25154778961563784,0.2501235655476764,0.3111642529415733,C
Crustal thickness,0.0,0.2882717273727957,0.21539448418843066,1.0,C
Depth to basement,0.698015352793957,0.0,0.0,0.27636168523182203,B
Fault intersection density,0.08744147817060924,0.01797855081491636,1.0,0.0,D
Quaternary fault density,0.4732845380616911,0.0,0.9613637177424175,0.0,B
State map fault density,0.03072592850716323,0.5163535367691865,0.8106156931899445,0.22174950914548008,A
Volcanic dike density,0.0,0.4694802548680574,0.2738429972770805,0.0,A
Volcanic vent density,0.29018440729845757,0.028780550135139495,0.3597626188641762,0.13104914205658239,B
