Name,X,Y,S1,S2,S3,S4,S5,S6,Cluster
15-12,327137.93,4.40603467e6,3.368564278599892e-16,0.8985240391140642,0.45669303917936965,0.0806556080859805,3.414010898367375e-16,1.9387833771691845e-14,C
17-31,328813.04,4.40882204e6,0.5301127899289704,1.1099845196119412e-11,4.613683454375376e-16,0.2439929328062154,3.414010898367375e-16,0.5401399192051412,B
18-1,327026.54,4.40703217e6,3.368564278599892e-16,4.025877790937458e-16,0.48124578624913805,0.2733306180924598,0.4339890711133922,0.16774676897431046,A
18-31,328801.97,4.40871725e6,0.03755757991234196,6.975818846043737e-5,0.44776437295742977,0.3589286089664727,3.414010898367375e-16,0.8215510348594101,D
18A-1,327056.33,4.40703775e6,3.368564278599892e-16,4.025877790937458e-16,0.5288260471060334,0.37294846396525955,0.31818792063779333,6.773412955461243e-16,A
18B-31,328791.32,4.40871144e6,0.023878145906745616,2.1793459153176702e-6,0.4757958730509318,0.33331299730166525,3.414010898367375e-16,0.8002610608459083,D
18D-31,328751.91,4.40862911e6,5.500889408755524e-11,0.00032261112636612583,0.4212889167344932,0.3323214723694178,0.18089129589629385,0.6579393611638717,D
22-13,327161.72,4.4051245e6,3.368564278599892e-16,4.025877790937458e-16,0.11031619012610122,0.21646862233083505,3.414010898367375e-16,0.7789254692298292,D
26-12,327300.66,4.40579963e6,0.24202211639504195,0.4646542765693458,4.613683454375376e-16,0.36040626440619644,3.414010898367375e-16,0.43242565288545987,E
27-1,327256.49,4.40720478e6,0.14089607041411215,0.4959913890889734,0.5878813017370981,3.5811341080448084e-16,3.414010898367375e-16,6.773412955461243e-16,C
27A-1,327256.49,4.40720478e6,0.1408960333858074,0.4959919607287655,0.5878807004682338,3.5811341080448084e-16,3.414010898367375e-16,6.773412955461243e-16,C
46-1,327805.01,4.40748476e6,3.368564278599892e-16,0.18701876021610547,4.613683454375376e-16,0.9337961384247813,3.414010898367375e-16,0.7420038562707071,E
46A-1,327774.78,4.40740108e6,3.368564278599892e-16,0.25293028366265535,4.613683454375376e-16,1.0,3.414010898367375e-16,0.611111926895997,E
47A-1,327661.35,4.40729129e6,0.34727896262713154,4.025877790937458e-16,4.613683454375376e-16,0.8808346280097097,3.414010898367375e-16,0.03230270945491527,E
47C-1,327746.25,4.4073085e6,3.368564278599892e-16,0.5792787343240924,4.613683454375376e-16,0.933350194046169,3.414010898367375e-16,0.03247864339625519,E
48A-1,327704.9,4.40718065e6,0.16921539641783742,0.7500490539965976,4.613683454375376e-16,0.8559729407808973,3.414010898367375e-16,6.773412955461243e-16,E
55-1,328014.47,4.40772054e6,0.3791833542925135,0.1445863101756637,0.23051717523670454,0.3696885015811464,0.1792173939603203,0.6167785738835946,B
56-1,327963.43,4.40755491e6,0.5171230581712044,0.14297100572114044,4.613683454375376e-16,0.4583153276610058,3.414010898367375e-16,0.7931570512596937,B
56A-1,327859.51,4.40755578e6,3.368564278599892e-16,0.6209693721102342,0.42661061166752295,0.6671881750011976,3.414010898367375e-16,6.773412955461243e-16,C
56B-1,327891.35,4.40745289e6,0.6543004932340231,0.0005366601925650931,4.613683454375376e-16,0.7702097695731127,3.414010898367375e-16,6.773412955461243e-16,B
57-1,327931.46,4.40741438e6,0.4690115986863792,0.2710056817979082,4.613683454375376e-16,0.5009565757577267,3.414010898367375e-16,0.7631879207384332,B
64-1,328156.6,4.40795433e6,0.5187708323274232,4.025877790937458e-16,0.32012543721489894,3.5811341080448084e-16,3.414010898367375e-16,0.8163809840651458,B
68A-1,328229.72,4.40707921e6,0.5424063155313398,0.22571573437579395,4.613683454375376e-16,3.5811341080448084e-16,0.5237486520084348,0.4979306634887173,A
68B-1,328065.7,4.40706164e6,1.3847361264500036e-11,0.5507567156764687,4.613683454375376e-16,3.5811341080448084e-16,0.8987008593311787,0.8731387423071881,A
77-1,328214.13,4.40718169e6,3.368564278599892e-16,4.025877790937458e-16,0.23003887988636165,0.47978928221570866,0.6526176231148958,0.5144430041274475,A
81-1,328567.28,4.40851194e6,3.910269863957688e-10,0.0002829739736389924,4.613683454375376e-16,0.5023835274226267,3.414010898367375e-16,0.999504747375838,D
81-11,326859.34,4.4069495e6,0.3128200249397184,0.5338293024647708,4.613683454375376e-16,0.2953120921406822,3.414010898367375e-16,6.773412955461243e-16,C
81A-1,328598.76,4.40855648e6,1.194451491971615e-7,0.00017558484307481255,4.613683454375376e-16,0.49877199038787606,3.414010898367375e-16,1.0,D
81B-1,328528.63,4.40843124e6,1.4991617945358807e-15,0.10198749640806604,0.477978733648712,0.12473811155617326,0.14567079931574273,0.7948516966033973,D
82A-11,326907.12,4.40670723e6,3.368564278599892e-16,4.025877790937458e-16,1.0,3.5811341080448084e-16,3.414010898367375e-16,6.773412955461243e-16,F
82A-11-RD1,326907.12,4.40670723e6,3.368564278599892e-16,4.025877790937458e-16,1.0,3.5811341080448084e-16,3.414010898367375e-16,6.773412955461243e-16,F
82A-11-RD2,326907.12,4.40670723e6,3.368564278599892e-16,4.025877790937458e-16,1.0,3.5811341080448084e-16,3.414010898367375e-16,6.773412955461243e-16,F
82A-11-RD3,326907.12,4.40670723e6,3.368564278599892e-16,4.025877790937458e-16,1.0,3.5811341080448084e-16,3.414010898367375e-16,6.773412955461243e-16,F
88-11,326889.0,4.40544507e6,3.368564278599892e-16,0.10957327493099459,0.42999929198616943,0.4054004181537908,3.414010898367375e-16,0.24476198627528822,D
B1,327745.53,4.40596877e6,0.3741023605562295,0.38090266647614907,4.613683454375376e-16,0.502611623637661,3.414010898367375e-16,6.773412955461243e-16,E
B2,327721.65,4.40609786e6,1.0,0.003248446661301909,9.58616117619725e-10,0.054702743924767025,3.414010898367375e-16,0.1410741026610192,B
B3,327738.97,4.40619405e6,0.49838551362221556,9.011619537595482e-8,4.613683454375376e-16,0.23409904689438157,0.5056182723269248,6.773412955461243e-16,A
B4,327778.14,4.40639034e6,0.19352202441340272,0.003235224095288011,4.613683454375376e-16,0.20975007782668761,0.6050636973153153,0.5985479465261072,A
B5,327713.81,4.40629808e6,3.368564278599892e-16,4.025877790937458e-16,0.4984027644945824,3.5811341080448084e-16,0.6127520297164479,0.5980669916588801,A
B5A,327754.04,4.40637455e6,0.0036583346624474915,0.006338711929712784,4.613683454375376e-16,0.2677418136208615,0.8281400236105955,0.5754362259740727,A
B6,327848.36,4.40636567e6,0.2528799235619032,0.06531436176611027,0.37798145888442636,0.08918798596823557,0.5962323496023489,6.773412955461243e-16,A
B7,327784.51,4.40629935e6,0.014269402709782842,0.00613069289300208,0.2832931939339966,0.0014828862865004456,0.6274295450196767,0.8998290457222534,A
B8,327603.56,4.40643766e6,0.8095829777027747,4.025877790937458e-16,4.613683454375376e-16,0.3687948894779554,3.414010898367375e-16,6.773412955461243e-16,B
BCH-1,328398.2,4.40887416e6,3.368564278599892e-16,0.6734222699955392,0.29968274530842565,3.5811341080448084e-16,3.414010898367375e-16,0.7096660917329749,C
BCH-2,327732.14,4.40800628e6,0.6765218971950061,0.6942179426575007,4.613683454375376e-16,3.5811341080448084e-16,3.414010898367375e-16,6.773412955461243e-16,C
BCH-3,327126.74,4.40600409e6,3.368564278599892e-16,1.0,0.4192191368103278,8.813951621086843e-16,0.07716380759649723,6.773412955461243e-16,C
EE-1,327575.0,4.40640489e6,0.8141009348235704,4.025877790937458e-16,4.613683454375376e-16,0.3387874788673597,3.414010898367375e-16,6.773412955461243e-16,B
MG-1(SP-1),328194.09,4.4071925e6,0.3083804940291065,4.025877790937458e-16,0.28258728373413056,3.5811341080448084e-16,1.0,6.773412955461243e-16,A
MG-2(SP-2),328128.08,4.4076273e6,0.517010487477083,4.025877790937458e-16,0.22897410220743844,3.5811341080448084e-16,0.07019160107277761,0.9520303094403941,B
MGI-1,327853.91,4.40678619e6,0.5848387824883186,0.0003761809828311596,4.613683454375376e-16,0.009862978083183895,0.3018010344489677,0.8305081457536426,B
MGI-2,327994.35,4.40709171e6,0.0001409437182195798,0.10594391991124016,0.426415467761753,8.951303542018678e-5,0.6461017742935243,0.9318538899922298,A
